,accid_type,accident_contents,from_direction,lane,lat,lng,reception_date,reception_time,reception_viewpoint,region,to_direction
0,사고,"<긴급>=사고=제천 중앙시장에서 교동방향, 중앙시장입구 홈마트4거리 횡단보도에서 승용차와 킥보드간 사고. 사고처리 중",중앙시장,,37.136519,128.212353,2020-09-30,21:18,,제천,교동
1,사고,"<긴급>=사고=제천 제일장례식장에서 천남동 방향, 천남동 코아루아파트 앞 3거리 내 승용차간 추돌사고, 사고처리전",제일장례식장,,37.130253,128.195320,2020-09-30,14:13,,제천,천남동
2,사고,<긴급>=사고= 제천 의림대로 청전교차로-법원4거리 구간 롯데슈퍼앞 2차로에서 승용차 관련 사고처리중임.,청전교차로,2,37.145106,128.213752,2020-09-30,13:02,,제천,법원4거리
3,사고,<긴급>=사고= 춘천 석사동주민센터-석사4거리 구간 중간지점에서 승용차와 택시간 충돌사고. 사고처리 전.,석사동주민센터,,37.860600,127.744244,2020-09-30,11:51,석사4거리,춘천,석사4거리
4,사고,<긴급>-사고- 춘천 문화예술회관에서 남부4거리 방향 3차로에서 승용차와 자전거간의 추돌사고. 사고처리 전.,문화예술회관,3,37.871068,127.725223,2020-09-30,11:46,남부4거리,춘천,남부4거리
5,사고,<긴급>=사고= 춘천 영서로 남춘천역-퇴계4거리방향 롯데슈퍼앞 2차로에서 승용차와 자전거 관련 사고. 사고처리 중임.,남춘천역,2,37.860758,127.728969,2020-09-30,8:13,롯데슈퍼 앞,춘천,퇴계4거리
6,사고,"<긴급>=사고=원주 백간공원3거리에서 청골4거리 방향, 청골4거리 못간지점 1차로에서 승용차간 추돌사고. 사고처리 전",백간공원3거리,1,37.356322,127.922001,2020-09-29,20:17,청골4거리,원주,청골4거리
7,사고,"<긴급>=사고=속초 경찰서에서 만천3거리 방향, 중간지점 2,3차로에 승용차간 추돌사고, 사고처리전",경찰서,"2, 3",38.197703,128.570465,2020-09-29,19:49,만천3거리,속초,만천3거리
8,사고,"<긴급>=사고=춘천 영서로, 옛)한방병원에서 퇴계4거리 방향, 한방병원 지나 1차로에 승용차간 추돌사고, 사고처리중",한방병원,1,37.847838,127.754741,2020-09-29,19:11,토마스요양병원,춘천,퇴계4거리
9,사고,"<긴급>=사고=강릉 원대로 교동택지에서 터미널 방향, 관동중학교후문 교차로 내, 승용차간 측면 충돌사고. 사고처리 전. 뒤로 정체,주변이 혼잡합니다",교동택지,,37.757763,128.880794,2020-09-29,17:28,관동중학교 후문,강릉,터미널
10,사고,"<긴급>=사고=원주 서원대로 종합경기장3거리에서 의료원4거리 방향, 종합경기장3거리 지난지점 1차로 승용차간 추돌사고. 사고처리 전. 뒤로 지체됩니다.",종합경기장3거리,1,37.336508,127.941868,2020-09-29,17:01,종합경기장3거리,원주,의료원4거리
11,사고,"<긴급>=사고=제천 장락3거리에서 교동방향, 장락3거리 신호등 전 2차로 승용차간 추돌사고. 사고처리 중",장락3거리,2,37.150950,128.226995,2020-09-29,15:28,장락3거리,제천,교동
12,사고,"<긴급>=사고=이천 중앙4거리에서 분수대5거리 방향, 분수대5거리 가기전 승용차간 추돌사고, 사고처리중",중앙4거리,,37.280815,127.446568,2020-09-29,13:04,분수대5거리,이천,분수대5거리
13,사고,<긴급>-사고- 여주 하리교차로에서 홍문4거리 방향 세종투어 앞 4거리 부근 오토바이관련 추돌사고. 사고처리 중.,하리교차로,,37.295646,127.635494,2020-09-29,12:05,세종투어,여주,홍문4거리
14,사고,<긴급>=사고= 국도7호선 강릉 청솔공원묘지입구3거리에서 승용차간 추돌사고. 사고처리 전.,,,37.832833,128.819510,2020-09-29,10:12,청솔공원묘지입구3거리,강릉,
15,사고,<긴급>=사고= 주문진 중앙공원4거리에서 승용차와 택시간 충돌사고. 사고처리 중임.,,,37.893237,128.827205,2020-09-29,9:17,중앙공원4거리,강릉,
16,사고,<긴급>-사고- 원주 기업도시에서 만종방향 신평4거리 못 간 지점 승용차관련 4중 추돌사고. 사고처리 전.,기업도시,,37.363819,127.897453,2020-09-29,8:40,신평4거리,원주,만종
17,사고,"<긴급>-사고- 원주 혁신로, 왕성목4거리에서 삼생4거리 방향 적십자사 부근 1,2차로에서 승용차간의 추돌사고. 사고처리 전.",왕성목4거리,"1, 2",37.323504,127.978975,2020-09-29,8:21,삼생4거리,원주,삼생4거리
18,사고,-785사고처리완료- 여주 교리교차로 내에서 승용차간의 추돌사고. 사고처리완료,,,37.282845,127.635607,2020-09-28,21:32,교리교차로,여주,
19,사고,<긴급>-사고- 여주 교리교차로 내에서 승용차간의 추돌사고. 사고처리 중.,,,37.282845,127.635607,2020-09-28,21:28,교리교차로,여주,
20,사고,<긴급>-사고- 속초 상수도사업소에서 부영6단지 방향 교량 밑에서 승용차와 화물차간의 추돌사고. 사고처리 전.,상수도사업소,,38.185245,128.582858,2020-09-28,18:49,논산교 밑,속초,부영6단지
21,사고,"<긴급>-사고- 원주 원일로, 원주역4거리에서 우산철교4거리 방향 KT원주지사 앞 승용차간의 추돌사고. 사고처리 전.",원주역4거리,,37.358729,127.941850,2020-09-28,18:36,KT원주지사,원주,우산철교4거리
22,사고,"<긴급>-사고- 원주 서원대로, 의료원4거리에서 무실4거리 방향 종합경기장3거리 3차로에서 승용차와 화물차간의 추돌사고. 사고처리 전. 혼잡함",의료원4거리,3,37.336542,127.941871,2020-09-28,17:34,종합경기장3거리,원주,무실4거리
23,사고,<긴급>-사고- 속초 만천4거리에서 소야교4거리 방향 세무서 앞 승용차간의 충돌사고. 사고처리 중.,만천4거리,,38.195360,128.575208,2020-09-28,16:24,세무서 앞,속초,소야교4거리
24,사고,"<긴급>=사고=춘천 학곡리에서 옛)한방병원 방향, 학곡4거리 신호등앞 승용차와 화물차간 추돌사고. 사고처리 중",학곡리,,37.838079,127.759187,2020-09-28,15:31,학곡4거리,춘천,토마스요양병원
25,사고,"<긴급>=사고=속초 청초교4거리에서 고속터미널 방향, 청대초교 지난지점 대형마트앞 2차로에서 승용차와 승합차간 추돌사고. 사고처리 전",청초교4거리,,38.189940,128.580533,2020-09-28,14:38,,속초,고속터미널
26,사고,<긴급>=사고=춘천 석사4거리-학곡4거리방향 로데오4거리 1차로에서 승용차간 추돌사고.처리전,석사4거리,1,37.855278,127.749550,2020-09-28,9:30,로데오4거리,춘천,학곡4거리
27,사고,"<긴급>=사고= 원주 남원로, 젊음의광장4거리에서 의료원4거리 방향 30m 지난지점에서 승용차와 택시간 추돌사고. 사고처리 전.",젊음의광장4거리,,37.335310,127.948899,2020-09-28,9:09,젊음의광장4거리,원주,의료원4거리
28,사고,<긴급>=사고= 원주 남부시장-원주초교 방향 개봉교4거리내에서 승용차와 승합차간 추돌사고. 사고처리 전.,남부시장,,37.343829,127.957062,2020-09-28,8:34,개봉교4거리,원주,원주초교
29,사고,"<긴급>=사고= 원주 원문로, 청골4거리-광터교차로방향 만종3거리에서 탱크로리와 승용차간 추돌사고. 사고처리 전.",청골4거리,,37.356198,127.901560,2020-09-28,8:33,만종3거리,원주,광터교차로
30,사고,<긴급>=사고= 이천 관고4거리-중앙4거리 구간 중간지점에서 승용차와 오토바이간 추돌사고. 사고처리 전.,관고4거리,,37.281604,127.440755,2020-09-27,17:10,중앙4거리,이천,중앙4거리
31,사고,<긴급>=사고=이천 설봉3거리-터미널방향 중소기업은행앞 승용차.오토바이간 추돌사고.처리중,설봉3거리,,37.277905,127.447683,2020-09-27,14:29,중소기업은행,이천,터미널
32,사고,<긴급>=사고=강릉 율곡로 종합운동장3거리 내에서 화물차.승용차간 추돌사고.처리전,,,37.773945,128.889015,2020-09-27,11:02,종합운동장3거리,강릉,
33,사고,<긴급>=사고= 춘천 도화골4거리-팔호광장 방향 100m 지난지점 2차로에서 승용차간 추돌사고. 사고처리 전.,도화골4거리,,37.874355,127.740879,2020-09-26,17:22,도화골4거리,춘천,팔호광장
34,사고,=571 같은사고= 원주 단구로 젊음의광장4거리-청산4거리 구간 원주교육지원청앞 승용차 단독사고. 사고처리 중임.,젊음의광장4거리,,37.337864,127.945645,2020-09-26,17:11,원주교육지원청,원주,청산4거리
35,사고,<긴급>=사고= 원주 단구로 젊음의광장4거리-청산4거리 구간 교육지원청앞 승용차 단독사고. 사고처리 전.,젊음의광장4거리,,37.337864,127.945645,2020-09-26,17:08,원주교육지원청,원주,청산4거리
36,사고,=374 같은사고=강릉 강릉대로 강릉역-초당방향 경찰서4거리 지난지점 1차로에서 승용차간 추돌사고. 사고처리 전. 정체됨.,강릉역,1,37.768834,128.907773,2020-09-26,13:46,경찰서4거리,강릉,초당
37,사고,<긴급>=사고=강릉 강릉대로 경찰서4거리-포남5거리방향 포남5거리 가기전 2차로에서 승용차간 추돌사고.처리전 .뒤로 정체,경찰서4거리,,37.771273,128.910356,2020-09-26,13:41,포남5거리,강릉,포남5거리
38,사고,<긴급>=사고= 강릉 경찰서-동인병원 방향 50m 지난지점 1차로에서 승용차간 추돌사고. 사고처리 전.,,1,37.769108,128.908267,2020-09-26,13:41,강릉 경찰서,강릉,동인병원
39,사고,=258사고처리중=횡성 횡성5거리 회전교차로내에서 승용차.화물차간 추돌사고.처리중,,,37.488272,127.985809,2020-09-26,11:32,횡성5거리,횡성,
40,사고,<긴급>=사고=횡성 횡성5거리 회전교차로내에서 승용차.화물차간 추돌사고.처리전,,,37.488272,127.985809,2020-09-26,11:09,횡성5거리,횡성,
41,사고,"=91 같은사고=춘천 동광5거리에서 공단5거리 방향, 강원도시가스 앞 1차로에 승용차간 추돌사고, 사고처리중",동광5거리,1,37.885988,127.748548,2020-09-26,9:02,강원도시가스,춘천,공단5거리
42,사고,"<긴급>=사고=춘천 동광5거리에서 공단5거리 방향, 강원도시가스 앞 1차로에 승용차간 추돌사고, 사고처리전",동광5거리,1,37.885988,127.748548,2020-09-26,8:30,강원도시가스,춘천,공단5거리
43,사고,=718같은사고=중앙고속도로 춘천방향 춘천요금소부근(386K)1차로에서 승용차관련 추돌사고.처리중,,1,37.839342,127.776298,2020-09-25,19:17,춘천요금소,춘천,춘천
44,사고,<긴급>=사고=중앙고속도로 춘천방향 춘천요금소 100미터 지난지점 1차로에서 승용차3대간 추돌사고.처리전,,1,37.839342,127.776298,2020-09-25,18:59,춘천요금소,춘천,춘천
